Old Diameter (mm),New Diameter (mm),In.,Nearest diameter in Inches,Replacement Material,Cost / foot,Cost / meter
20,20,0.787401575, 3/4,"PVC,C901",1.97,0.600456
25,25,0.984251969,1,"PVC,C901",2.39,0.728472
30,40,1.181102362,1 1/2,"PVC,Class 150",1.23,0.374904
40,40,1.57480315,1 1/2,"PVC,Class 150",1.23,0.374904
50,50,1.968503937,2,"PVC,Class 150",1.55,0.47244
65,65,2.559055118,2 1/2,"PVC,Class 150",2.2,0.67056
75,75,2.952755906,3,"PVC,Class 150",3.85,1.17348
100,100,3.937007874,4,"PVC,Pressure pipe class 150",6.44,1.962912
150,150,5.905511811,6,"PVC,Pressure pipe class 150",11.94,3.639312
200,200,7.874015748,8,"PVC,Pressure pipe class 150",16.83,5.129784
250,250,9.842519685,10,"PVC,Pressure pipe class 150",24.37,7.427976
300,300,11.81102362,12,"PVC,Pressure pipe class 150",31.96,9.741408
350,350,13.77952756,14,"PVC,Class 150,AWWA C905",21.95,6.69036
400,400,15.7480315,16,"PVC,Class 150,AWWA C905",26.88,8.193024
450,450,17.71653543,18,"PVC,Class 150,AWWA C905",38.44,11.716512
500,500,19.68503937,20,"PVC,Class 150,AWWA C905",40.41,12.316968
550,600,21.65354331,24,"PVC,Class 150,AWWA C905",55.15,16.80972
600,600,23.62204724,24,"PVC,Class 150,AWWA C905",55.15,16.80972
625,750,24.60629921,30,"PVC,Class 150,AWWA C905",100.99,30.781752
650,750,25.59055118,30,"PVC,Class 150,AWWA C905",100.99,30.781752
675,750,26.57480315,30,"PVC,Class 150,AWWA C905",100.99,30.781752
700,750,27.55905512,30,"PVC,Class 150,AWWA C905",100.99,30.781752
750,750,29.52755906,30,"PVC,Class 150,AWWA C905",100.99,30.781752
775,750,30.51181102,30,"PVC,Class 150,AWWA C905",100.99,30.781752
800,900,31.49606299,36,"PVC,Class 150,AWWA C905",145.05,44.21124
850,900,33.46456693,36,"PVC,Class 150,AWWA C905",145.05,44.21124
900,900,35.43307087,36,"PVC,Class 150,AWWA C905",145.05,44.21124
1000,1050,39.37007874,42,"PVC,Class 150,AWWA C905",195.51,59.591448
1050,1050,41.33858268,42,"PVC,Class 150,AWWA C905",195.51,59.591448
1200,1200,47.24409449,48,"PVC,Class 150,AWWA C905",248.38,75.706224
1350,1500,53.1496063,60,CONC,487.01,148.440648
1500,1500,59.05511811,60,CONC,487.01,148.440648
1800,1800,70.86614173,72,CONC,594.02,181.057296
1950,2100,76.77165354,84,CONC,790.54,240.956592
